89,Wołowina klasa I nieścięgnista,107,21.7,2.1,0.0
90,Wołowina klasa I ścięgnista,154,20.8,7.9,0.0
91,Wołowina klasa II,147,20.6,7.2,0.0
92,Wołowina klasa III,223,20.9,15.6,0.0
93,Wołowina klasa IV,405,14.1,39.3,0.0
94,Wołowina klasa V,365,20.1,32.0,0.0
95,"Wołowina pieczeń",117,20.9,3.6,0.0
96,"Wołowina polędwica",113,20.1,3.5,0.0
97,"Wołowina rostbef",152,21.5,7.3,0.0
98,"Wołowina rozbratel",157,16.7,10.1,0.0
99,"Wołowina szponder",217,19.3,15.7,0.0
100,Flaki,84,16.0,2.2,0.0
101,"Kości wywar",5,1.2,0.0,0.0
102,Krew wieprzowa,73,16.6,0.4,0.4
103,Mózg wieprzowy,139,11.1,10.6,0.0
104,Nerki wieprzowe,102,16.8,3.8,0.0
105,Nogi wieprzowe,274,23.0,20.4,0.0
106,Ozór wieprzowy,165,16.5,11.1,0.0
107,Serca wieprzowe,111,16.9,4.8,0.0
108,Wątroba wieprzowa,130,22.0,3.4,2.6
109,Wątroba wołowa,125,20.0,3.1,4.0
110,Wątroba cielęca,125,19.2,3.3,4.1
111,"Gęś tuszka",339,14.1,31.8,0.0
112,"Indyk tuszka",129,17.0,6.8,0.0
113,Mięso z piersi indyka bez skóry,84,19.2,0.7,0.0
114,Mięso z piersi indyka ze skórą,100,18.7,2.7,0.0
115,Mięso z podudzia indyka bez skóry,100,16.6,3.7,0.0
116,Mięso z podudzia indyka ze skórą,142,15.7,8.9,0.0
117,Mięso ze skrzydeł indyka bez skóry,115,18.0,4.7,0.0
118,Mięso ze skrzydeł indyka ze skórą,168,16.5,11.4,0.0
119,Mięso z udźca indyka bez skóry,104,19.4,2.8,0.0
120,Mięso z udźca indyka ze skórą,131,18.4,6.4,0.0
121,Skóra z indyka,413,9.4,42.4,0.0
122,Skrzydło indyka,168,16.5,11.4,0.0
123,"Kaczka tuszka",308,13.5,28.6,0.0
124,"Kura tuszka",202,18.5,14.3,0.0
125,"Kurczak tuszka",158,18.6,9.3,0.0
126,Mięso z piersi kurczaka bez skóry,99,21.5,1.3,0.0
127,Mięso z ud kurczaka bez skóry,125,17.8,6.0,0.0
128,Mięso z ud kurczaka ze skórą,158,16.8,10.2,0.0
129,Noga (udo) kurczaka,158,16.8,10.2,0.0
130,Skórki kurze,379,10.7,37.9,0.0
131,Skrzydło kurczaka,186,19.2,12.2,0.0
132,Wątróbka  kurczaka,136,19.1,6.3,0.6
133,Żołądek kurczaka,114,18.2,4.2,0.6
134,"Królik tuszka",156,21.0,8.0,0.0
135,Baleron gotowany,244,15.1,20.2,0.9
136,Kabanosy,326,27.4,24.3,0.0
137,Kiełbasa domowa,320,14.7,29.2,0.5
138,Kiełbasa krakowska sucha,323,25.6,24.8,0.0
139,Kiełbasa lubuska,249,17.5,18.0,4.8
140,Kiełbasa mortadela,205,12.0,17.7,0.0
141,Kiełbasa myśliwska sucha,291,27.8,20.1,0.0
142,Kiełbasa parówkowa,323,11.0,31.5,0.0
143,Kiełbasa podwawelska,247,17.3,19.6,0.9
144,Kiełbasa rzeszowska,203,20.9,13.4,0.0
145,Kiełbasa śląska,210,18.4,15.3,0.0
146,Kiełbasa toruńska,263,20.9,20.1,0.0
147,Kiełbasa zwyczajna,209,17.6,15.6,0.0
148,Kiełbasa żywiecka,315,20.3,26.3,0.0
149,Kiełbaski bawarskie,308,15.5,27.7,0.1
150,Mielonka (Luncheon meat),171,12.8,11.7,3.7
151,Paróweczki śniadaniowe             (z olejem),234,11.9,20.9,0.1
152,Parówki popularne,342,9.5,34.3,0.0
153,Polędwica luksusowa,177,19.5,10.0,2.4
154,Polędwica sopocka,165,19.9,9.1,0.9
155,Salami luksusowe,540,21.9,50.6,0.9
156,Salami mini,548,21.7,51.6,0.9
157,Salami popularne,568,21.6,53.7,1.4
158,Szynka kanapkowa,102,14.2,4.4,1.4
159,Szynka wiejska,253,17.1,20.3,0.9
160,Szynka wieprzowa gotowana,233,16.4,18.3,1.0
161,Szynka wołowa gotowana,107,20.9,2.0,1.1
162,Szynkówka wieprzowa,191,13.6,14.7,1.4
163,Szynkówka wołowa,85,16.2,1.5,1.4
164,Wędzonka wołowa gotowana,102,17.8,3.1,0.5
165,Kiszka kaszana jęczmienna,194,8.5,12.6,13.0
166,Kiszka krwista,404,14.2,35.0,9.2
167,Kiszka pasztetowa,384,12.5,35.7,4.3
168,Ozory w galarecie,141,16.7,7.6,1.7
169,Pasztet pieczony,391,17.0,31.2,13.5
170,Pieczeń żuławska,170,13.8,11.7,2.6
171,Polędwica w galarecie,101,14.5,4.4,1.4
172,Salceson czarny,336,12.6,32.0,0.5
173,Salceson włoski,318,14.6,29.3,0.0
174,Wątrobianka,231,10.7,20.9,0.7
175,Baton szynkowy z indyka,143,14.9,9.3,0.1
176,Kiełbasa mazurska z indyka,129,14.8,7.7,0.1
177,Kiełbasa mortadela z indyka,209,11.0,18.5,0.1
178,Kiełbasa szynkowa z indyka,88,17.2,2.0,0.2
179,Polędwica z indyka,105,15.8,4.6,0.1
180,Szynka z indyka,84,17.1,1.6,0.1
181,Baton z kurczaka,144,16.7,8.6,0.1
182,Kabanosy z kurczaka,247,22.8,17.4,0.1
183,Kaszanka z kurczaka,204,9.8,11.7,16.4
184,Kiełbasa delikatesowa z kurczaka,109,19.6,3.3,0.1
185,Kiełbasa jałowcowa z kurczaka,236,19.0,17.9,0.1
186,Kiełbasa kanapkowa z kurczaka,179,11.8,13.5,3.0
187,Kiełbasa podlaska z kurczaka,232,20.7,16.7,0.1
188,Kiełbasa podsuszana z kurczaka,163,21.7,8.4,0.0
189,Kiełbasa szynkowa z kurczaka,110,16.2,5.0,0.0
190,Kurczak faszerowany (pieczony),200,20.5,11.9,2.8
191,Parówki z kurczaka,259,10.8,22.4,4.2
192,Pasta kanapkowa z kurczaka,156,10.4,11.3,3.5
193,Pasztet z kurczaka pieczony,214,14.4,14.3,7.5
194,Pasztet podlaski z kurczaka,228,6.7,21.1,3.6
195,Pieczeń z kurczaka z pieczarkami,180,13.8,10.2,9.1
196,Pieczeń z kurczaka z serem żółtym,205,16.0,12.1,8.8
197,Polędwica z piersi kurczaka,93,20.4,1.2,0.0
198,Szynka delikatesowa z kurczaka,124,18.2,5.6,0.0
199,Szynka z piersi kurczaka,98,21.2,1.2,0.2
200,Szynka z udźca kurczaka,117,17.2,5.3,0.0
201,Dorsz świeży,78,17.7,0.7,0.0
202,"Dorsz świeży filety bez skóry",70,16.5,0.3,0.0
203,Flądra świeża,83,16.5,1.8,0.0
204,Gładzica-płastuga świeża,86,17.1,1.9,0.0
205,"Halibut biały świeży",98,20.1,1.9,0.0
206,Karp świeży,110,18.0,4.2,0.0
207,Łosoś świeży,201,19.9,13.6,0.0
208,Makrela świeża,181,18.7,11.9,0.0
209,Mintaj świeży,73,16.6,0.6,0.0
